date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:40	93251/93251	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec1-16c43%22	https://adminlte.io/themes/AdminLTE/bower_components/raphael/raphael.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/raphael/raphael.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:41	35652/35652	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec1-8b44%22	https://adminlte.io/themes/AdminLTE/bower_components/morris.js/morris.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/morris.js/morris.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:41	62647/62647	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec0-f4b7%22	https://adminlte.io/themes/AdminLTE/bower_components/jquery-sparkline/dist/jquery.sparkline.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/jquery-sparkline/dist/jquery.sparkline.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:41	33323/33323	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591e0fc4-822b%22	https://adminlte.io/themes/AdminLTE/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:42	144313/144313	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591e0fc4-233b9%22	https://adminlte.io/themes/AdminLTE/plugins/jvectormap/jquery-jvectormap-world-mill-en.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/plugins/jvectormap/jquery-jvectormap-world-mill-en.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:42	10804/10804	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec0-2a34%22	https://adminlte.io/themes/AdminLTE/bower_components/jquery-knob/dist/jquery.knob.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/jquery-knob/dist/jquery.knob.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:42	51465/51465	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec1-c909%22	https://adminlte.io/themes/AdminLTE/bower_components/moment/min/moment.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/moment/min/moment.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:43	69588/69588	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec0-10fd4%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap-daterangepicker/daterangepicker.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap-daterangepicker/daterangepicker.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:43	33529/33529	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec0-82f9%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:44	210932/210932	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591e0fc4-337f4%22	https://adminlte.io/themes/AdminLTE/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.all.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.all.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:44	4724/4724	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec0-1274%22	https://adminlte.io/themes/AdminLTE/bower_components/jquery-slimscroll/jquery.slimscroll.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/jquery-slimscroll/jquery.slimscroll.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:44	25965/25965	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259580ec0-656d%22	https://adminlte.io/themes/AdminLTE/bower_components/fastclick/lib/fastclick.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/fastclick/lib/fastclick.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:45	17009/17009	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c67b4b-4271%22	https://adminlte.io/themes/AdminLTE/dist/js/adminlte.min.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/dist/js/adminlte.min.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:45	6064/6064	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591e0fc4-17b0%22	https://adminlte.io/themes/AdminLTE/dist/js/pages/dashboard.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/dist/js/pages/dashboard.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:45	17298/17298	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591e0fc4-4392%22	https://adminlte.io/themes/AdminLTE/dist/js/demo.js	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/dist/js/demo.js	(from https://adminlte.io/themes/AdminLTE/)
13:53:46	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2259580ec0-4e9f%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	(from https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css)
13:53:46	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2259580ec0-4e9f%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.eot?	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regulard41d.eot	(from https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css)
13:53:47	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%2259580ec0-466c%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2	(from https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css)
13:53:47	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%2259580ec0-5b80%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	(from https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css)
13:53:48	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%2259580ec0-b15c%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	(from https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css)
13:53:48	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259580ec0-1a8c2%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	(from https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css)
13:53:49	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2259580ec0-2876e%22	https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css)
13:53:50	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%2259580ec0-12d68%22	https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css)
13:53:50	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2259580ec0-2876e%22	https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont.eot?	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css)
13:53:51	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2259580ec0-17ee8%22	https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css)
13:53:52	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259580ec0-6c7db%22	https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css)
13:53:52	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%2259580ec0-286ac%22	https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/Pharmacy%20Management%20system/hamis/adminlte.io/themes/AdminLTE/bower_components/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css)
